Nomor Klasifikasi,Tanggal,Judul Buku,Kode Judul Buku,Kategori,Asal/Sumber,Kode Pengarang,Pengarang,Penerbit,Tahun Terbit,Jumlah Buku,Harga,Keterangan
500,2022-10-12,Matematika dalam Olahraga,M,Matematika, - ,THO,Suethomson Lanforster,Cempaka Putih,2009,3,0,Baik
500,2022-10-12,Menjelajah Alam Semesta,M,Astronomi, - ,ARY,Ary Wahyu Aryandi,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
500,2022-10-12,Tubuh dan Lingkungan,T,Ilmu ilmu Tentang Kehidupan, - ,ARY,Ary Wahyu Aryandi,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
000,2022-10-12,Bermain Matematika dengan Komputer,B,Matematika, - ,NUG,"Suharno Widi Nugroho, ST.",BSD MIPA,2017,3,0,Baik
500,2022-10-12,Menguak Keajaiban Energi,M,Fisika, - ,ARY,Ary Wahyu Aryandi,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
500,2022-10-12,Materi dan Benda,M,Fisika, - ,ARY,Ary Wahyu Aryandi,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
500,2022-10-12,Matematika dalam Televisi,M,Matematika, - ,GAR,Simon Garner,Cempaka Putih,2009,3,0,Baik
500,2022-10-12,"Ayo, Mengukur Volume",A,Fisika, - ,ALA,Allana Faradiani dan Dudi Ferdiana,Cv. Graha Ilmu Mulia,2017,2,0,Baik
500,2022-10-12,Mengenal Pecahan,M,Matematika, - ,IMA,Iwan Rajasa,Graha Bandung Kencana,2017,2,0,Baik
500,2022-10-12,Cara Praktis Belajar Sempoa Sendiri Pemula 1,C,Matematika, - ,EST,Ester Oen Oen,PT  Widya Duta Grafika,2017,3,0,Baik
500,2022-10-12,90 Eksperimen,9,Ilmu-ilmu murni, - ,ANI,Anita van Saan,PT  Tiga Serangkai Pustaka Mandir,2017,1,0,Baik
500,2022-10-12,Matematika Modern,M,Matematika, - ,ALF,Alfarabi,Delta Edukasi,2017,1,0,Baik
500,2022-10-12,100 Pengetahuan Tentang Serangga dan Laba-laba,1,Ilmu Tentang Hewan, - ,PAR,Steve Parker,Pakar Raya,2005,1,0,Baik
500,2022-10-12,Mengenal Lebih dekat Bilangan,M,Matematika, - ,AND,Andri Saleh,Mediantara Semesta,2012,3,0,Baik
500,2022-10-12,Mengenal Lebih dekat Pengukuran,M,Matematika, - ,AND,Andri Saleh,Mediantara Semesta,2012,3,0,Baik
500,2022-10-12,Kemampuan Berfikir Kritis Matematika,K,Matematika, - ,DIN,Dina Mayadiana Suarma,Ckrawala Maha Karya,2017,2,0,Baik
500,2022-10-12,Penerapan Ketrampilan Proses dalam Pembelajaran IPA di Sekolah Dasar,P,Fisika, - ,MAR,"S. Maria Ulfa, S.Pd",Duta Graha Pustaka,2015,2,0,Baik
500,2022-10-12,Ada apa dibalik Segitiga,A,Matematika, - ,MUN,Munal Hani'ah,Intan Pariwara,2017,3,0,Baik
500,2022-10-12,Menghitung Faktor Persekutuan Terbesar (FPB) dan Kelipatan Persekutuan Terkecil (KPK),M,Matematika, - ,ERN,Erna Himawati,Be Champion,2017,2,0,Baik
500,2022-10-12,Menggennggam Mutiara dalam Angka,M,Matematika, - ,DAN,Daniel Kurniawan,Be Champion,2017,3,0,Baik
500,2022-10-12,"Seri Matematika Untuk Anak-Anak, Mengenal Bilangan",S,Matematika, - ,REZ,Reza Saputra,Graha Bandung Kencana,2017,2,0,Baik
200,2022-11-17,Mengenal Hari Besar Islam,M,Agama, - ,MAR,"Marfuah, S.Pd.I",CV Pamularsih,2017,3,0,Ba
200,2022-11-17,"Yuk Belajar, Wudu dan Tayamum",Y,Agama, - ,BAS,"M Basuki, M.S.I",PT Sindua Press,2017,3,0,Baik
900,2022-11-24,Mengenal Dunia Dengan Peta,M,Geograf, - ,DEV,Devi Andriana,PT Sarana Panca Karya Nusa,2017,3,0,Baik
500,2022-11-24,Kehidupan Binatang,K,Ilmu-Ilmu tentang Hewan, - ,SAL,Sally Hewitt,PT Gading Inti Prima,2017,3,0,Baik
500,2022-11-24,"Pintar Matematika seri: Waktu, Kecepatan, Debit Luas dan Volume",P,Ma, - ,ALF,Alfarabi,Delta Edukasi Prima,2017,2,0,Baik
500,2022-11-24,"Ayo, Mengukur Kelajuan",A,Matematika, - ,ALA,Alanna Faradiani dan Dudi Ferdiana,CV Graha Ilmu Mulia,2017,3,0,Baik
500,2022-11-24,"Ayo, Mengukur Berat",A,Matematika, - ,ALA,Alanna Faradiani dan Dudi Ferdiana,CV Graha Ilmu Mulia,2017,2,0,Baik
500,2022-11-24,"Yuk, Jadi Ilmuwan Cilik",Y,Ilmu-Ilmu Murni, - ,RUL,"Rully Nasrullah, dkk",Dangiang Pustaka,2017,3,0,Baik
500,2022-11-24,Letusan Gunung Berapi,L,Ilmu Pengetahuan tentang Bumi dan Dunia Lain, - ,WEN,Weni R. Dkk,PT Mediantara Semesta,2017,2,0,Baik
500,2022-11-24,Organisme dan Kehidupan yang Mengagumkan,O,Ilmu Pengetahuan tentang Bumi dan Dunia Lain, - ,AME,"Amelia Novita, S.Si",PT Mediantara Semesta,2017,3,0,Baik
500,2022-11-24,"Yuk, Belajar Matematika",Y,Matematika, - ,IIS,Iis Nur Aisyah,Media Pusindo,2017,3,0,Baik
300,2022-11-24,Dampak Globalisasi bagi kepribadian kita,D,Ilmu-Ilmu Sosial, - ,ILM,Ilman Soleh,Cempaka Putih,2009,3,0,Baik
800,2022-11-24,Cita-Citaku Ingin Menjadi Polisi,C,Kesusasteraan Lain-Lain, - ,TED,Tedi Rustendi,Mitra Sarana Edukasi,2017,3,0,Baik
300,2022-11-24,Generasi Penuh Persahabatan,G,Pendidikan, - ,LUT,Lutfi Avianto dan M. Raushan Fikr,Bina Sarana Pustaka,2017,3,0,Baik
700,2022-11-24,Mengenal dan Membangun Prestasi Olahraga Seri Pekan Olah Raga,M,Seni Rekreasi dan Pertunjukan, - ,VAL,Drs. Valentino Barus,PT Lestari Kiranatama,2017,3,0,Baik
300,2022-11-24,Misteri Ranupane,M,Adat Istiadat dan Kebiasaan, - ,FID,Fidelara,Bina Sumber Daya MIPA,2017,3,0,Baik
200,2022-11-24,Amalan yang Dicintai Allah,A,Agama, - ,FAT,"Fathur Rahman, S.TH.I",Insan Madani,2017,3,0,Baik
800,2022-11-22,Terampil Menulis Surat,T,Bahasa, - ,FAJ,Fajar M.N,Puri Delco,2017,3,0,Baik
500,2022-11-22,Ayo Belajar Geometri Bangun Datar dan Bangun Ruang,A,Matematika, - ,MAR,Martoraharjo,PT JePe Press Media Utama,2017,3,0,Baik
500,2022-11-22,"Pintar Matematika Seri: Bilangan Prima, Bilangan Romawi, Kelipatan dan Pecahan",P,Matematika, - ,ALF,Alfarabi,Delta Edukasi Prima,2017,2,0,Baik
500,2022-11-22,Pintar Aljabar,P,Matematika, - ,YAN,Yanik Novi Anggraini,PT Wangsa Jatra Lestari,2017,3,0,Baik
500,2022-11-22,"Ayo, Mengukur Jarak",A,Matematika, - ,ALA,Alanna Faradiani dan Dudi Ferdiana,CV Graha Ilmu Mulia,2017,3,0,Baik
300,2022-11-22,Langkah-Langkah Pemberdayaan dan Kesejahteraan Keluarga (PKK),L,Kesejahteraan Rumah Tangga, - ,SUT,Sutedjo,Azkapress,2006,5,0,Baik
300,2022-11-22,Mengenal Ubi Jenderal,U,Adat Istiadat dan Kebiasaan, - ,USM,K. Usman,Republika,2017,3,0,Baik
300,2022-11-22,Panduan Implementasi Penguatan Pendidikan Karakter,P,Pendidikan, - ,DYA,Dyah Sriwilujeng,Erlangga,2017,3,0,Baik
400,2022-11-22,Ajisaka Dumadine Aksara Jawa,A,Adat Istiadat dan Kebiasaan, - ,SRI,Sri Sumarsih,Erlangga,2017,1,0,Baik
300,2022-11-22,Paud Siaga,P,Kesusasateraan Indonesia, - ,KEM,Kemendikud,Kemendikbud,2019,2,0,Baik
500,2022-11-22,Siaga Gunung Meletus,S,Kesusasateraan Indonesia, - ,KEM,Kemendikud,Kemendikbud,2019,2,0,Baik
500,2022-11-22,Siaga Gempa,S,Kesusasateraan Indonesia, - ,KEM,Kemendikud,Kemendikbud,2019,2,0,Baik
500,2022-11-22,Siaga Banjir,S,Kesusasateraan Indonesia, - ,KEM,Kemendikud,Kemendikbud,2019,2,0,Baik
500,2022-11-22,Siaga Tsunami,S,Kesusasateraan Indonesia, - ,KEM,Kemendikud,Kemendikbud,2019,2,0,Baik
800,2022-11-22,Senangnya bermain dengan Nina,S,Kesusasateraan Indonesia, - ,DES,Desi Rusnita,Kemendikbud,2019,2,0,Baik
800,2022-11-22,Kemana balon itu pergi,K,Kesusasateraan Indonesia, - ,WAT,Watiek Ideo,Badan pengembangan dan Pembinaan Bahasa,2019,2,0,Baik
800,2022-11-22,Petualangan Si kembar di kampung Ayah,P,Kesusasateraan Indonesia, - ,PAN,Pani Rizki Utami dan Budi Prianto,Kemendikbud,2021,2,0,Baik
800,2022-11-22,Buah Misterius,B,Kesusasateraan Indonesia, - ,NOR,Nora Irani dan Odilia Stevannie,Yayasan Litara,2021,2,0,Baik
800,2022-11-22,Buah Apa?,B,Kesusasateraan Indonesia, - ,TIT,Titik Suprapti dan Divina Ariandini,Yayasan Litara,2020,2,0,Baik
800,2022-11-22,Teladan I Maninrori dan Karaeng Pattingaloang,T,Kesusasateraan Indonesia, - ,WEN,Wena Wiraksih dan Aditya Maulana Rachdian,Badan pengembangan dan Pembinaan Bahasa,2021,2,0,Baik
800,2022-11-22,Budi Baik Si Kerongo,B,Kesusasateraan Indonesia, - ,DEW,Dewi Nastiti L,Kemendikbud,2021,2,0,Baik
800,2022-11-22,Syifa dan burung kenari,S,Kesusasateraan Indonesia, - ,RAH,Rahmita Sari dan Arief Alfirdausy,Kemendikbud,2019,2,0,Baik
800,2022-11-22,Pesut tak lapar lagi,P,Kesusasateraan Indonesia, - ,YAN,Yani Tanti Siani dan Arief Alfirdausy,Kemendikbud,2019,2,0,Baik
800,2022-11-22,Garam Gunung,G,Kesusasateraan Indonesia, - ,DED,Dedy Apriansyah dan Stephanie Valentine,Yayasan Litara,2021,2,0,Baik
800,2022-11-22,Sayur dan buah warna warni,S,Kesusasateraan Indonesia, - ,DYA,Dyah Umiyarni,Badan pengembangan dan Pembinaan Bahasa,2022,2,0,Baik
800,2022-11-22,Kejutan Untuk Mama,K,Kesusasateraan Indonesia, - ,VER,Veronica W.,Badan pengembangan dan Pembinaan Bahasa,2022,2,0,Baik
